Contig_ID	MG100014_R2	MG100015_R2	MG100016_R2	MG100017_R2		MG100019_R2	MG100020_R2	MG100021_R2	MG100022_R2	MG100023_R2	MG100024_R2	MG100025_R2	MG100026_R2	MG100027_R2		MG100029_R2	MG100030_R2	MG100031_R2	MG100032_R2	MG100033_R2	MG100034_R2		MG100036_R2	
contig-100_31	1.13126	0	0	0		0	0	0	0	0	0	0	0	0		3.84034	0	0	0	0.00372126	0		0	
contig-100_32	0	0	0	0		0	0	99.7954	0.00376147	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_33	0	3.92762	0	0		0	0	0	0	0	0	0	0	0.352576		0	0	0	0	0	0		0	
contig-100_34	0	0	0	0		0	0	0	0	0	8.10905	0	0	0		1.48942	0	0	0	0	0		0	
contig-100_35	0.00773672	0	0	0		0	0.0967091	0	0	0	0	0	0	0		0	0	0	0	0	0		21.2876	
contig-100_36	0	0.0120443	0.00401477	0		0	0	0	0	0	0	13.4736	0	0		0	0.00802954	0	0	0	0		0	
contig-100_37	0	0.0482736	1.05397	0		0.0442508	0.080456	0.0040228	0	0.0040228	0.0080456	0	0.0080456	0		4.26417	0	0	0	0.0160912	0		0	
contig-100_38	0	0.081299	0.0365846	0.329261		0.0121949	0.0975588	0.0447145	0.00406495	0.0406495	0.0447145	0.0162598	0.158533	0.0081299		0.0284547	0.00406495	0	0	0.00406495	0.105689		0.0528444	
contig-100_39	0.016701	0	0	0		0	4.4049	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_40	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	1.09195		0	
contig-100_41	0	0	0	0		0	0	0	2.78544	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_42	0	0	0	0		0	0	0	0	0	0	0	0	0		1.1524	0	0	0	0	0		0	
contig-100_43	2.88737	0.00442171	0	0		0.00442171	0	0.00442171	0.0619039	0	0	0	0	0.00442171		0.0309519	0	0.0397953	0	0	0		0	
contig-100_44	0.590297	0	0	0		0	0	0	0	0	0	0	0	0		0	3.4747	0	0	0	0		0	
contig-100_45	0.00894979	0	0.0044749	0		0	0	0	0.0536987	0	0	0.0044749	0.00894979	0.0178996		0.0044749	1.1053	0	0	0	0		0	
contig-100_46	0	0	0	0		0	0	0	0	0	0	0	0	0.26907		0	0	0.0134535	0	1.83416	0		0	
contig-100_47	0	0	0	0		0	0	0.186357	0	0	0	0	0	0		0	0	0	0	4.72257	0		0	
contig-100_48	0.00463293	0.0277976	0.101924	0		0.00926585	0	0	0	0.0138988	0	0	0	0		0.0138988	0.00463293	0	0	1.13507	0		0	
contig-100_49	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	14.4184	0	0		0	
contig-100_50	0	0	0	0		0	0	0	0	0	0	0	0.743613	0		0	0	0	0	0	0		0	
contig-100_51	0	0	2.79111	0		0.0140728	0	0.159492	0	0.745861	0	0	0	0		0	0	0.00469095	0	0	0.00469095		0	
contig-100_52	0.418181	0	0	0		0	0	0	0	0.206741	0	0	0	0		0.84106	0	0	0	0.0610826	0		0.216138	
contig-100_53	0	0	2.45448	0		0	0	0	0	0	0	0	0	0.0237377		0	0	0	0	0	0		0	
contig-100_54	0	1.12625	0.275622	0		0	0	0	0.0142563	0.0047521	0	0	0	0		0	0	0	0	0	0		0	
contig-100_55	0.00476754	0	0	0		0	0	0	0.0572105	0	0	0	0	0.00953508		0	1.03932	0	0	0	0		0	
contig-100_56	0	0	0	0		0	4.00741	0	0	0	0	0	0	0.00973853		0	0	0	0	0.00486927	0		0	
contig-100_57	0	10.0382	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_58	0	0	0	0		0	0.00492713	0.00492713	0.0147814	0.00492713	0	160.792	0	0		0	0	0	0	0	0		0	
contig-100_59	0	0	0	0		0	0	0.180255	0	0	0	0	0	0		0.425602	0	0	0	3.80037	0		0	
contig-100_60	0	0	0	0		0	0	0	0	4.00949	0	0	0	0		0	0	0	0	0	0		0	
contig-100_61	0.00508966	0.00508966	0	0		0	0	0	0	0	0	0	4.96242	0		0	0	0	0.0101793	0.00508966	0		0	
contig-100_62	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	1.25295		0	
contig-100_63	0	0	4.67633	0		0.0311064	0	0.347355	0	1.0628	0	0	0	0		0	0	0	0	0	0.0051844		0	
contig-100_64	0	0	0	0		0.00531739	0	0	0	0	0	0	0	0		0	0	0	0	6.54039	0		0	
contig-100_65	0	0	0	0		0	0	0	0	0	0	0	0	3.75096		0	0	0	0	0	0		0	
contig-100_66	0	9.62515	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_67	0.00541602	0.102904	0.0487441	0.330377		0	0.119152	0.016248	0.00541602	0.016248	0.0270801	0.016248	0.129984	0.010832		0.00541602	0.016248	0.016248	0.010832	0.00541602	0.113736		0.0433281	
contig-100_68	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0.967998		0	
contig-100_69	0	0	0	0		0	0	0.0333406	0	0	0	0	0	0		0	0	0	0	10.7523	0		0	
contig-100_70	0.531427	0.0111879	0	0		0	0	0.0111879	0	0.598554	0	0	0	0		0	0	0	0	0	0.615336		0.727215	
contig-100_71	0	2.8538	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_72	0	0.0167888	0	0		0	0	0	0	0	0	6.64277	0	0		0	0	0	0	0.0167888	0		0	
contig-100_73	0	0	0	0		0	0	0	0	0	0	0	0	0		2.42869	0	0	0	0	0		0	
contig-100_74	0	0.0169442	0.338884	0		0.00564807	0.0338884	0	0	0.00564807	0.0169442	0	0	0		1.27081	0	0	0	0	0		0	
contig-100_75	0	0	0	0		0	0	0	0.0961371	0	3.73238	0	0	10.8748		0	0	0.0113102	0	0	0		0	
contig-100_76	0.0397431	0.567759	0.334978	0.613179		0.0510983	0.806217	0.334978	0.0170328	0.266847	0.408786	0.113552	0.510983	0.096519		0.102197	0.0738086	0.0454207	0.0454207	0.0851638	0.686988		0.51666	
contig-100_77	0.0229648	0.539673	0.155013	0.510967		0.0401884	0.746357	0.18946	0.0114824	0.275578	0.28706	0.18946	0.47652	0.0803769		0.0861181	0.0803769	0.0401884	0.0401884	0.0631533	0.528191		0.384661	
contig-100_78	0	0.0862548	0.0402523	0		0	0.218512	0	0	0	0.0115006	0	0	0.017251		0.00575032	0.017251	0	0	0.460026	0.017251		0	
contig-100_79	0	0	0	0		0.00575215	0	0	0	0	0	0	0	0		0	0	15.0074	0	0	0		0	
contig-100_80	0	0.0477414	0	0		0	0	0	0.017903	0	0	0	0	0		6.91057	0	0.0298384	0	0	0		0	
contig-100_81	2.8427	0	0	0		0	0	0	0	0	0	0	0	0.0120199		0.00600994	12.3624	0	0	0.270447	0.102169		0	
contig-100_82	0.10401	0	0	0		0	0	0	0	0	0.00611826	0	0	0		0.152957	0.24473	0	0	0	0.98504		0	
contig-100_83	0	0.0123788	0	0		0	0	0	0	0	0.00618938	0	5.72518	0		0	0	0	0	0	0		0	
contig-100_84	0	0	0	0		0.0123957	0	0	0	0	0	0	0	0		0	0	0	0	0	1.64243		0.00619785	
contig-100_85	0	0	0	0		0	0	0.0872579	0	0	0	0	0	0		0	0	0	0	5.04226	0		0	
contig-100_86	0	0	0	0		0	0	0	0	3.08725	0	0	0	0		0	0	0	0	0.106457	0		0	
contig-100_87	0	0	0	0		0	0	0	1.96676	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_88	0	0.18838	4.14435	0		0	0	0	0	0.604114	0	0	0	0.0259834		0	0	0	0	0	0		0	
contig-100_89	0.0664934	0	0	0		0.00664934	0	0	0	0	0	0	0	0		2.29402	0	0.0864414	0	0	0.0997401		0	
contig-100_90	0.00666076	0.0133215	0	0		0	0	0	0	0	0	0	1.14565	0.00666076		0	0	0.00666076	0	0.00666076	0.0333038		0	
contig-100_91	0	0.0336713	0.0202028	0		0	0.0673426	0	0	0	0	0	0.026937	0.0134685		0.0740769	0.0471398	0	0	0.484867	0.00673426		0	
contig-100_92	0	0	1.36561	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_93	0.0138409	0	0.941183	0		0	0	0	0.0138409	0	0	0	0	0		0.0692046	0	0	0	0	0		0	
contig-100_94	0	0.678723	0.14694	0		0	0	0	0	0.0139943	0	0	0	0		0	0	0	0	0	0		0	
contig-100_95	0.0140359	0	0	0		0	0	0.0280717	0.393004	0	0	0	3.29141	0		0	0	0.00701794	0.0350897	0	0		0	
contig-100_96	0	0	0	0		0	0	0	0	0	7.96921	0	0	0		0.648247	0	0	0	0	0		0	
contig-100_97	0	4.4597	0	0		0	0	0	0	0	0	0	0	0.646231		0	0	0	0	0	0		0	
contig-100_98	0	5.19961	0.0071033	0		0	0	0	0	0	0	0	0	0.56116		0	0	0	0	0	0		0	
contig-100_99	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	1.35299	0		0	
contig-100_100	0	0	0	0		0	0	0	0	0	0	0.0143208	1.25307	0		0	0	0	0	0	0		0	
contig-100_101	0	0.0287974	0.511153	0		0.00719934	0.0575947	0	0	0	0.00719934	0	0	0		2.77894	0.00719934	0	0	0.00719934	0		0	
contig-100_102	0	0.764244	0.151407	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_103	0.0794455	0	0	0		0	0	0.852233	0	0	0	0	0	0		0.59223	0	0	0	0	0		0	
contig-100_104	0	0	0	0		0	0	0	2.55908	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_105	0	0.108841	0.0362804	0		0	0	0	0	0	0	0	0	0		0	0.522438	0	0	0	0		0	
contig-100_106	0.050915	0	0.960112	0		0	0	0	0	0	0	0	0	0		0	0.225481	0	0	0	0		0.050915	
contig-100_107	0	0	0	0		0	0	0.189316	0	0	0	0	0	0		0	0	0	0	7.01197	0		0	
contig-100_108	0	0	0	0		0	0	0	0	2.40538	0	0	0	0		0	0	0	0	0	0		0	
contig-100_109	0.00736731	0.00736731	0	0		0	0	0.00736731	0	0	0	0	5.37077	0		0	0	0	0	0	0		0	
contig-100_110	0	0	6.12306	0		0.0294732	0	0.316837	0	1.02419	0	0	0	0		0	0	0	0	0	0		0	
contig-100_111	0.15505	0	10.2407	0		0	0	0	0	0	0	0	0	0.169817		0	0	0	0	0	0		0	
contig-100_112	0	0	0.0665133	0		0	0	0	0.0369518	0.0665133	0	0	0	0		0	0.642962	0	0	0.0147807	0		0	
contig-100_113	0	0	0	0		0	0	0	0	0	0	0	0	4.82458		0	0	0	0	0	0		0	
contig-100_114	0	0.0753284	0.0376642	2.35778		0	9.90569	0	0	0.0225985	0.0903941	0	0.10546	0.0225985		0.00753284	0	0	0	0.0150657	0.21092		0.0376642	
contig-100_115	0.331767	0	0	0		0	0	0	0	0	0	0	0	0		0	4.56934	0	0	0.00754016	0.00754016		0	
contig-100_116	0.00758333	0	0	0		0	0	0	0.00758333	0	0	0.02275	0	0		1.64558	0	0	0	0.06825	0		0	
contig-100_117	0	0	0	0		0	0	0	0	0	0	0	0	1.64397		0	0	0	0	0	0		0	
contig-100_118	0	0	0	0		0	0	0	0.0152604	0	0	0	0	0		0	0	0	0	0.0305208	1.25898		0	
contig-100_119	0.00763342	0.0458005	0.0381671	0.351137		0.00763342	0.122135	0.0152668	0	0.0152668	0.0610674	0.0610674	0.480906	0.0152668		0.0458005	0.00763342	0.00763342	0	0	0.145035		0.0839677	
contig-100_120	0	0	2.78737	0		0.0152733	0	0.183279	0	0.649115	0	0	0	0		0	0	0.00763664	0	0	0.00763664		0	
contig-100_121	0	0	0	0		0	0	0	0	0	9.45518	0	0	0		0.566545	0	0	0	0	0		0	
contig-100_122	0	0	2.15645	0		0	0	0.123226	0	0.577621	0	0	0	0		0	0	0	0	0	0		0	
contig-100_123	0	0	0	0		0	0	0	1.33903	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_124	2.67324	0	0	0		1.53867	0	0	0	0	0	0	0	0.0621683		0	0.132108	0	0	0	0		0	
contig-100_125	0	0	0	0		0	0	0	0.140039	0	0	0	0	0		6.79189	0	0.0155599	0	0	0		0	
contig-100_126	0.685322	0.101241	0	0		0	0	0	0	0	9.04158	0	0	0		2.81917	0	0	0	0	0		0	
contig-100_127	0	3.3999	0	0		0	0	0.0157403	0	0	0	0	0	0.118052		0	0	0	0	0	0		0	
contig-100_128	0.0157426	0.00787128	0	0		0	0.0157426	0	0	0	0	0	4.86445	0		0	0	0	0.0157426	0.0157426	0		0	
contig-100_129	0	0	0	0		2.26233	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_130	0	0	0	0		0	0	0.0871143	0	0	0	0	0	0		0	0	0	0	2.16202	0		0	
contig-100_131	0	0	0	0		0	0	12.843	24.1563	0	0	0	0	0		0	0	4.52532	0	0	0		0	
contig-100_132	0	0	0	0		2.10393	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_133	0.77315	0	0	0		0.159412	0	0	0	0	0	0	0	0.64562		0.191295	4.34399	0	0	0.557943	2.55857		0	
contig-100_134	0	0	0	0		1.27632	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_135	0.11263	0	0	0		0	0	0.008045	0.01609	0	0.008045	0.008045	0	0		2.58245	0.01609	0	0.01609	0.11263	0		0	
contig-100_136	0	0.00809175	0.145651	0		0	0	0	0	0.954826	0	0	0	0		0.0242752	0	0	0	0.258936	0.105193		0	
contig-100_137	0	0	0	0		0	0	0	0	0	0	0	0	0		3.51653	0	0	0	0	0		0	
contig-100_138	0	0	0	0		0	0	0	0	0	0	0	1.14496	0		0	0	0	0	0	0		0	
contig-100_139	0	0	0	0		0	0	14.9507	24.7132	0	0	0	0	0		0	0	5.32725	0	0	0		0	
contig-100_140	0	0	1.96698	0		0.016599	0	0.232385	0	0.697156	0	0	0	0		0	0	0	0	0	0.016599		0	
contig-100_141	0	0.0249327	0	0		0	0	0	0.00831091	0	0.0249327	0	9.13369	0		0	0	0	0.0166218	0	0		0	
contig-100_142	0.849924	0	0	0		0	0	0	0	0	0	0	0	0		1.5082	0	0	0	0	0		0	
contig-100_143	0	0	0	0		0	0	0.134062	0	0	0	0	0	0		0.402186	0	0	0	3.11694	0		0	
contig-100_144	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0.00839441	0	0	0	1.15003		0	
contig-100_145	0	0	0	0		2.01249	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_146	0.615898	0	0	0		0	0	0	0	0	0	0	0	0		0	4.97056	0	0	0	0		0	
contig-100_147	0	0	0	0		0	0	0	0	0	0.0347373	0	0	0.0347373		0	1.6066	0.547113	0	0	0		0	
contig-100_148	0.374744	0.03486	0.15687	0		0	0	0	0.00871499	0.03486	0.00871499	0	0	0		0.026145	0	1.32468	0	0	0.13944		33.4568	
contig-100_149	0	0	0	0		0	0	0	1.08431	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_150	0	5.47667	0	0		0	0	0	0	0	0	0	0	0.20122		0	0	0	0	0	0		0	
contig-100_151	0	0	0	0		0	0	0	0	0	8.25546	0	0	0		1.93625	0	0	0	0	0		0	
contig-100_152	0	0	0	0		1.14787	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_153	1.24182	0	0	0		0	0	0	0	0	0	0	0	0		0	3.17551	0	0	0	0.00887013		0	
contig-100_154	0	0.00889774	0.00889774	0		0	0	0	0	0	0.00889774	0	7.26945	0		0	0	0	0	0.00889774	0		0	
contig-100_155	0	0	0	0		0	0	0	0	0	7.02062	0	0	0		0	0	0	0	0	0		0	
contig-100_156	0	0	0	0		0.813693	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_157	0	0	0.746956	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0.773954		0	
contig-100_158	0.234647	0	0	0		8.339	0	0	0	0	0	0	0	0.171473		0	0.135373	0	0	0	0		0	
contig-100_159	0.189743	0	0	0		0	0	0	0	0.162637	0	0	0	0		0.813186	0	0	0	0.0361416	0		0.135531	
contig-100_160	1.02475	0	0	0		0	0	0	0	0	0	0	0	0.00906859		0	4.00832	0	0	0.0181372	0.0181372		0	
contig-100_161	0	0	2.9689	0		0.0181584	0	0.263297	0	0.608307	0	0	0	0		0	0	0	0	0	0.0181584		0	
contig-100_162	0	0	0	0		0	0	0	0	0	0	0	0.00912037	0.00912037		1.15829	0	0	0	0	0		0.0364815	
contig-100_163	2.62592	0	0	0		0	0	0	0.137243	0	0	0	0	0		0.0457478	0	0.0457478	0	0	0		0	
contig-100_164	0	0	0	0		0	3.60918	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_165	0	0	0.540462	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	1.07176		0	
contig-100_166	1.27372	0	0	0		0	0	0.00916346	0	0.137452	0	0	0	0.00916346		0	0.146615	1.11794	0.00916346	0	0.100798		0.0274904	
contig-100_167	0	0	0	0		0.00924299	0	0	0	0.194103	0	0	0	0		0	0	0	0	0.027729	0		1.3125	
contig-100_168	0.933701	0.0554674	0	0		0	0	0.0184891	0.00924456	0.462228	0	0	0	0		0	0	0.00924456	0	0	0.702587		3.36502	
contig-100_169	2.4906	0	0	0		0	0	0	0	0	0	0	0.00925875	0.0462937		0.00925875	15.9899	0	0	0.166657	0.157399		0	
contig-100_170	1.15162	0.074298	0.826565	0		0.00928724	0	0	0	0.00928724	0	0	0	1.70885		0.00928724	0.00928724	0.037149	0	0	0.0464362		0	
contig-100_171	0.354005	0	0	0		0	0	0	0	0	0	0	0	0		0	2.78546	0	0	0	0.00931592		0	
contig-100_172	0	0.0754462	3.38565	0		0	0	0.0377231	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_173	0	0	0.0188943	0		0	0	0	0	0	0	0	0	0.13226		0.283415	0	0	0	0	0		0.576278	
contig-100_174	0.0663495	0	0	0		0	0	0.919414	0	0	0	0	0	0		0.625581	0	0	0	0	0		0	
contig-100_175	0	0	0	0		0	0	0	0	0	0	0	0	0.628653		0	0	0	0	0	0		0	
contig-100_176	0	0	0	0		0	0	0	0	0	0	0	1.82376	0		0	0	0	0	0	0		0	
contig-100_177	0	0	0	0		0	0	0	0	0	0	0	0	0.277589		0	0	0.0191441	0	2.3643	0		0	
contig-100_178	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0.990109	0		0	
contig-100_179	0	0	0	0		0	0	0	0	0	0	3.55922	0	0		0	0	0	0	0	0		0	
contig-100_180	0	0.00965028	0	0		0	0	0	0	0.357061	0	0	0	0.067552		0.00965028	0	0	0	0.144754	0		0.492165	
contig-100_181	0	0	0	0		0	0	0	0	1.18867	0	0.00966402	0	0		0.0289921	0	0	0	0.019328	0		0	
contig-100_182	0.950117	0	0	0		0	0	0.00969507	0.00969507	0.0484754	0	0	0.0969507	0		0	0.0678655	0	0	0	0.126036		0	
contig-100_183	0	0	0	0		0	0	0	0	0	0	0	0	0		0.904063	0	0	0	0	0		0	
contig-100_184	0	0	0	0		0	0	0.302383	0	0	0	0	0	0		0	0	0	0	9.59821	0		0	
contig-100_185	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0.850302	0		0	
contig-100_186	0	0	0	0		0	0	0	0	1.33546	0	0	0	0		0	0	0	0.00981953	0	0		0	
contig-100_187	0	0	0.0493833	0		0	0	0	0	0	0	0	0	0.02963		0.0395067	0	0	0	0	0		0.82964	
contig-100_188	0	0.0691618	0.0296408	0.256887		0.0197605	0.118563	0.0197605	0.00988026	0.0197605	0.0296408	0.0197605	0.158084	0.0197605		0.0395211	0.00988026	0.0197605	0	0.0197605	0.138324		0.0691618	
contig-100_189	0	0.0889871	4.48891	0		0	0	0	0	0.187862	0	0	0	0		0	0	0.00988746	0	0	0		0	
contig-100_190	0	0	0	0		0	0	0	0	0	0	0	0	1.31671		0	0	0	0	0	0		0	
contig-100_191	0.099454	0	0	0		4.10745	0	0	0	0	0	0	0	0.218799		0	0.169072	0	0	0	0		0	
contig-100_192	0	0	0	0		0	0	0	0	0.268723	0	0	0	0.0597161		0.268723	0.00995269	0	0	0	0		0	
contig-100_193	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	2.21315	0		0	
contig-100_194	0	0.0299129	0	0		0	0	0.299129	1.22643	0	0	0	0	0.00997096		0	0	0	0	0	0		0	
contig-100_195	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0.121684	3.63025	0	0	0.922773		0	
contig-100_196	0	0.273943	0.0405842	0		0	0	0	0	0.324674	0	0	0	13.4841		0	0	0.0202921	0	0	0		0	
contig-100_197	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0.710622	0	0		0	
contig-100_198	0	0	0	0		0	0	0	0	0.609332	0	0	0	0.0203111		0.0406221	0.0203111	0	0	0	0		0	
contig-100_199	0.0304666	0	0	0		0	0	0	0	0	0	0	0	0		0	0	1.85846	0	0	0.0710887		0	
contig-100_200	0.183727	0.0204141	0.0102071	0		0.0102071	0	0.898222	0.581803	0.0306212	0	0	0	0		0.142899	0.0918636	3.09274	0	0	0.0102071		0	
contig-100_201	0	0	0	0.745957		0	0.0306558	0	0	0	0	0	0.0102186	0		0	0	0	0	0	0		0	
contig-100_202	0	0	0	0		0	0	0	2.09643	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_203	0	0	0	0		0	1.99167	0.0206391	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_204	0	0	1.90495	0		0.020706	0	0.0931769	0	0.465885	0	0	0	0		0	0	0	0	0	0.010353		0	
contig-100_205	0	0	0	0		0	0	0	0	0	0	0	0	0.186425		0	0	0.0103569	0	1.23248	0		0	
contig-100_206	0	0	0	0		0	0	0	0	0	8.00264	0	0	0		1.60261	0	0	0	0	0		0	
contig-100_207	0	0	0	0		0	0	0	0	0	0	0	3.95525	0		0	0	0	0	0	0		0	
contig-100_208	0.104165	0	0	0		0	0	0	0	0	0	0	0	0.0104165		0.583326	0.104165	0	0	0	1.39582		0	
contig-100_209	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		12.4549	
contig-100_210	0	0	0.647315	0		0	0	0.0939651	0	0	0	0	0	0		0	0	0	0	0.0417622	0		0.0730839	
contig-100_211	1.92106	0.125287	1.59741	0		0.0208811	0	0	0	0.0208811	0	0	0	2.87115		0	0	0.18793	0	0	0.146168		0	
contig-100_212	0	0	0	0		0	0	0	0.0104526	0	0.0836209	0	0	0		0	1.43201	8.03806	0	0	0		0	
contig-100_213	0.0104566	0	0	0		1.64169	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_214	0	0	0	0		0	0	0	0	0	0	0.0105113	0	0		0	0	0	0	0	0		0.809369	
contig-100_215	0	0	0	0		0.010546	0	0	0	0	0	0	0	0.010546		0	0	0	0	5.66319	0		0	
contig-100_216	0	0	0.31718	0		0.031718	0	0.0211453	0	0	0	0.0422907	0	0		0.0211453	0	0	0	0	0		1.89251	
contig-100_217	0	0	0	0		0	0	0	0	0	0	0	2.4181	0		0	0	0	0	0	0		0.0106057	
contig-100_218	0	0	0	0		0	0	0.0742834	0	0	0	0	0	0		0	0	0	0	2.95011	0		0	
contig-100_219	0.010641	0	0	0		0	0	0	0	0	0.010641	0	5.63974	0		0	0	0	0.010641	0.010641	0		0	
contig-100_220	0	0.021349	0	0		0	0	0	0	0	0.0106745	0	8.2834	0		0	0	0	0	0	0.021349		0.0106745	
